fecha,temperatura,humedad,precipitacion,mes
2023-01-01,22.8,77.7,1,1
2023-01-02,20.1,33.7,0,1
2023-01-03,17.2,50.4,5,1
2023-01-04,19.6,75.0,0,1
2023-01-05,21.9,58.5,0,1
2023-01-06,16.1,47.5,10,1
2023-01-07,26.3,69.6,0,1
2023-01-08,21.1,77.2,1,1
2023-01-09,15.2,29.1,2,1
2023-01-10,24.5,25.0,0,1
2023-01-11,21.9,59.2,0,1
2023-01-12,22.3,78.6,5,1
2023-01-13,22.7,58.2,0,1
2023-01-14,19.9,39.9,0,1
2023-01-15,23.3,56.9,0,1
2023-01-16,17.9,31.4,2,1
2023-01-17,18.2,36.1,0,1
2023-01-18,26.4,79.6,1,1
2023-01-19,22.3,65.7,10,1
2023-01-20,21.5,67.1,2,1
2023-01-21,22.2,76.5,1,1
2023-01-22,15.3,63.8,0,1
2023-01-23,26.0,77.5,1,1
2023-01-24,19.9,56.5,2,1
2023-01-25,17.9,55.8,1,1
2023-01-26,17.6,76.6,0,1
2023-01-27,20.6,49.0,0,1
2023-01-28,25.7,39.8,0,1
2023-01-29,25.3,61.7,0,1
2023-01-30,24.6,59.4,0,1
2023-01-31,23.5,28.8,1,1
2023-02-01,15.2,56.9,0,2
2023-02-02,25.4,27.6,5,2
2023-02-03,15.8,27.0,5,2
2023-02-04,21.1,67.5,1,2
2023-02-05,24.1,56.1,5,2
2023-02-06,15.0,76.7,1,2
2023-02-07,26.3,78.0,1,2
2023-02-08,22.8,41.3,2,2
2023-02-09,18.6,50.2,1,2
2023-02-10,25.1,72.4,1,2
2023-02-11,16.1,62.2,0,2
2023-02-12,15.9,65.6,5,2
2023-02-13,19.9,75.6,0,2
2023-02-14,23.2,63.3,0,2
2023-02-15,22.3,46.6,10,2
2023-02-16,17.9,44.1,2,2
2023-02-17,15.5,67.9,10,2
2023-02-18,15.3,71.7,0,2
2023-02-19,15.7,56.8,0,2
2023-02-20,17.4,27.1,5,2
2023-02-21,16.5,65.8,0,2
2023-02-22,25.6,37.7,5,2
2023-02-23,24.0,49.9,5,2
2023-02-24,22.8,66.4,2,2
2023-02-25,20.5,79.2,2,2
2023-02-26,19.8,34.4,10,2
2023-02-27,19.0,68.0,0,2
2023-02-28,19.8,28.9,5,2
2023-03-01,21.5,38.3,0,3
2023-03-02,32.8,41.1,2,3
2023-03-03,26.6,58.1,2,3
2023-03-04,28.3,27.7,2,3
2023-03-05,25.1,68.0,10,3
2023-03-06,24.1,76.2,10,3
2023-03-07,27.3,78.7,0,3
2023-03-08,20.6,55.5,2,3
2023-03-09,20.1,59.1,0,3
2023-03-10,20.4,58.0,2,3
2023-03-11,28.5,40.9,0,3
2023-03-12,22.1,53.5,0,3
2023-03-13,32.0,57.5,0,3
2023-03-14,20.5,54.9,0,3
2023-03-15,34.8,40.0,5,3
2023-03-16,30.0,25.1,1,3
2023-03-17,30.9,25.8,2,3
2023-03-18,30.5,64.0,0,3
2023-03-19,26.1,43.2,2,3
2023-03-20,25.8,30.0,0,3
2023-03-21,33.2,63.6,0,3
2023-03-22,30.4,70.4,0,3
2023-03-23,22.7,40.8,2,3
2023-03-24,31.6,59.6,0,3
